"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"champagne","","","","","","","","","","","","","","","","","","",""
"ground beef","","","","","","","","","","","","","","","","","","",""
"eggs","frozen smoothie","","","","","","","","","","","","","","","","","",""
"french fries","hand protein bar","","","","","","","","","","","","","","","","","",""
"mineral water","olive oil","","","","","","","","","","","","","","","","","",""
"pepper","","","","","","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"spaghetti","eggs","","","","","","","","","","","","","","","","","",""
"fresh tuna","turkey","herb & pepper","spaghetti","mineral water","mint","","","","","","","","","","","","","",""
"olive oil","light mayo","","","","","","","","","","","","","","","","","",""
"oil","cookies","","","","","","","","","","","","","","","","","",""
"honey","","","","","","","","","","","","","","","","","","",""
"whole wheat rice","","","","","","","","","","","","","","","","","","",""
"spaghetti","chocolate","","","","","","","","","","","","","","","","","",""
"sandwich","salt","","","","","","","","","","","","","","","","","",""
"frozen vegetables","eggs","champagne","","","","","","","","","","","","","","","","",""
"frozen vegetables","milk","bug spray","escalope","","","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"salt","","","","","","","","","","","","","","","","","","",""
"rice","frozen smoothie","","","","","","","","","","","","","","","","","",""
"pepper","milk","light cream","chicken","chocolate","frozen smoothie","mushroom cream sauce","","","","","","","","","","","","",""
"burgers","grated cheese","frozen vegetables","spaghetti","milk","escalope","mushroom cream sauce","white wine","","","","","","","","","","","",""
"turkey","herb & pepper","salmon","white wine","candy bars","","","","","","","","","","","","","","",""
"dessert wine","mineral water","eggs","french fries","","","","","","","","","","","","","","","",""
"tomatoes","milk","whole wheat rice","","","","","","","","","","","","","","","","",""
"green tea","cottage cheese","","","","","","","","","","","","","","","","","",""
"yams","","","","","","","","","","","","","","","","","","",""
"ham","mineral water","avocado","black tea","vegetables mix","eggs","champagne","cottage cheese","pancakes","energy drink","","","","","","","","","",""
"eggs","french fries","frozen smoothie","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","tomatoes","butter","nonfat milk","french fries","frozen smoothie","tomato juice","fresh bread","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"grated cheese","ground beef","olive oil","pancakes","mushroom cream sauce","hot dogs","","","","","","","","","","","","","",""
"herb & pepper","black tea","escalope","","","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","spaghetti","pancakes","honey","whole wheat rice","green beans","french fries","frozen smoothie","mashed potato","","","","","","","","","",""
"turkey","burgers","soup","olive oil","salmon","oatmeal","cottage cheese","light mayo","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"olive oil","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"burgers","butter","","","","","","","","","","","","","","","","","",""
"spaghetti","gums","","","","","","","","","","","","","","","","","",""
"herb & pepper","pepper","spaghetti","olive oil","pancakes","cake","light cream","antioxydant juice","frozen smoothie","cookies","low fat yogurt","","","","","","","","",""
"frozen vegetables","tomatoes","mineral water","milk","vegetables mix","eggs","french fries","light mayo","cauliflower","","","","","","","","","","",""
"red wine","shrimp","chocolate","salmon","rice","whole weat flour","green tea","","","","","","","","","","","","",""
"fresh tuna","ground beef","pepper","mineral water","pancakes","eggs","whole wheat rice","cake","low fat yogurt","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"french fries","escalope","pasta","mushroom cream sauce","","","","","","","","","","","","","","","",""
"soup","meatballs","milk","energy bar","","","","","","","","","","","","","","","",""
"meatballs","cake","","","","","","","","","","","","","","","","","",""
"mineral water","soup","chicken","green tea","","","","","","","","","","","","","","","",""
"cake","chocolate","","","","","","","","","","","","","","","","","",""
"red wine","mineral water","green beans","french fries","","","","","","","","","","","","","","","",""
"burgers","mineral water","whole wheat rice","","","","","","","","","","","","","","","","",""
"avocado","green grapes","","","","","","","","","","","","","","","","","",""
"whole wheat rice","chocolate","","","","","","","","","","","","","","","","","",""
"mineral water","vegetables mix","eggs","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"burgers","ground beef","chicken","whole weat flour","frozen smoothie","escalope","hot dogs","green tea","","","","","","","","","","","",""
"milk","shallot","cottage cheese","tomato juice","green tea","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"eggs","green tea","hot dogs","cottage cheese","brownies","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"burgers","spaghetti","low fat yogurt","green tea","","","","","","","","","","","","","","","",""
"light mayo","","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","mineral water","olive oil","carrots","protein bar","low fat yogurt","","","","","","","","","","","","","",""
"tomatoes","spaghetti","whole wheat rice","frozen smoothie","yogurt cake","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","mineral water","strawberries","pancakes","","","","","","","","","","","","","","",""
"ground beef","butter","french fries","","","","","","","","","","","","","","","","",""
"frozen vegetables","eggs","","","","","","","","","","","","","","","","","",""
"turkey","burgers","","","","","","","","","","","","","","","","","",""
"olive oil","","","","","","","","","","","","","","","","","","",""
"grated cheese","tomatoes","pepper","spaghetti","mineral water","avocado","milk","","","","","","","","","","","","",""
"frozen vegetables","","","","","","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"mineral water","black tea","almonds","pancakes","eggs","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"mineral water","chocolate","escalope","low fat yogurt","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"burgers","","","","","","","","","","","","","","","","","","",""
"spaghetti","meatballs","chocolate","escalope","","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","soup","milk","tea","low fat yogurt","","","","","","","","","","","","","",""
"vegetables mix","","","","","","","","","","","","","","","","","","",""
"turkey","pepper","chocolate","fromage blanc","eggs","green tea","escalope","","","","","","","","","","","","",""
"turkey","burgers","frozen vegetables","ground beef","mineral water","milk","eggs","cake","light mayo","","","","","","","","","","",""
"spaghetti","mineral water","avocado","strawberries","","","","","","","","","","","","","","","",""
"ground beef","","","","","","","","","","","","","","","","","","",""
"soup","muffins","rice","cereals","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","spaghetti","","","","","","","","","","","","","","","","",""
"meatballs","green tea","","","","","","","","","","","","","","","","","",""
"escalope","green tea","","","","","","","","","","","","","","","","","",""
"red wine","frozen vegetables","tomatoes","ground beef","pet food","french fries","brownies","low fat yogurt","green tea","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"grated cheese","herb & pepper","mineral water","salmon","chicken","cookies","protein bar","fresh bread","zucchini","","","","","","","","","","",""
"chocolate","ground beef","","","","","","","","","","","","","","","","","",""
"chutney","chocolate","champagne","","","","","","","","","","","","","","","","",""
"milk","olive oil","butter","frozen smoothie","low fat yogurt","","","","","","","","","","","","","","",""
